State,District,Crop,Season,Area-2024-25,Production-2024-25,Yield-2024-25
Punjab,Hoshiarpur,Cereals,Rabi,1.46,6.33,4345
Punjab,Hoshiarpur,Cereals,Total,2.67,11.34,4247
Punjab,Hoshiarpur,Gram,Rabi,0,0,1051
Punjab,Hoshiarpur,Gram,Total,0,0,1051
Punjab,Hoshiarpur,Urad,Kharif,0,0,708
Punjab,Hoshiarpur,Urad,Total,0,0,708
Punjab,Hoshiarpur,Moong,Summer,0,0,780
Punjab,Hoshiarpur,Moong,Total,0,0,780
Punjab,Hoshiarpur,Lentil,Rabi,0,0,768
Punjab,Hoshiarpur,Lentil,Total,0,0,768
Punjab,Hoshiarpur,Total Pulses,Total,0,0,770
Punjab,Hoshiarpur,Total Food Grains,Kharif,1.21,5,4125
Punjab,Hoshiarpur,Total Food Grains,Rabi,1.46,6.33,4343
Punjab,Hoshiarpur,Total Food Grains,Summer,0,0,780
Punjab,Hoshiarpur,Total Food Grains,Total,2.67,11.34,4241
Punjab,Jalandhar,Rice,Kharif,1.76,7.91,4507
Punjab,Jalandhar,Rice,Total,1.76,7.91,4507
Punjab,Jalandhar,Wheat,Rabi,1.73,8.69,5012
Punjab,Jalandhar,Wheat,Total,1.73,8.69,5012
Punjab,Jalandhar,Maize,Kharif,0.04,0.16,4077
Punjab,Jalandhar,Maize,Total,0.04,0.16,4077
Punjab,Jalandhar,Nutri/Coarse Cereals,Kharif,0.04,0.16,4077
Punjab,Jalandhar,Nutri/Coarse Cereals,Total,0.04,0.16,4077
Punjab,Jalandhar,Cereals,Kharif,1.8,8.07,4497
Punjab,Jalandhar,Cereals,Rabi,1.73,8.69,5012
Punjab,Jalandhar,Cereals,Total,3.53,16.76,4750
Punjab,Jalandhar,Tur,Kharif,0,0,1632
Punjab,Jalandhar,Tur,Total,0,0,1632
Punjab,Jalandhar,Moong,Summer,0,0,980
Punjab,Jalandhar,Moong,Total,0,0,980
Punjab,Jalandhar,Total Pulses,Total,0,0.01,1469
Punjab,Jalandhar,Total Food Grains,Kharif,1.8,8.08,4492
Punjab,Jalandhar,Total Food Grains,Rabi,1.73,8.69,5012
Punjab,Jalandhar,Total Food Grains,Summer,0,0,980
Punjab,Jalandhar,Total Food Grains,Total,3.53,16.77,4746
Punjab,Kapurthala,Rice,Kharif,1.17,5.59,4791
Punjab,Kapurthala,Rice,Total,1.17,5.59,4791
Punjab,Kapurthala,Wheat,Rabi,1.07,5.49,5111
Punjab,Kapurthala,Wheat,Total,1.07,5.49,5111
Punjab,Kapurthala,Maize,Kharif,0.01,0.04,4087
Punjab,Kapurthala,Maize,Total,0.01,0.04,4087
Punjab,Kapurthala,Nutri/Coarse Cereals,Kharif,0.01,0.04,4087
Punjab,Kapurthala,Nutri/Coarse Cereals,Total,0.01,0.04,4087
Punjab,Kapurthala,Cereals,Kharif,1.18,5.63,4784
